id, typeofday, day, hour, temperature, client
0,2,1,0,6.9,36
1,2,1,1,7.483333333333333,61
2,2,1,2,8.066666666666666,48
3,2,1,3,8.649999999999999,54
4,2,1,4,9.233333333333333,63
5,2,1,5,9.816666666666666,57
6,2,1,6,10.399999999999999,45
7,2,1,7,10.98333333333333,56
8,2,1,8,11.566666666666665,63
9,2,1,9,12.149999999999999,49
10,2,1,10,12.73333333333333,59
11,2,1,11,13.316666666666663,93
12,2,1,12,13.316666666666663,100
13,2,1,13,12.73333333333333,104
14,2,1,14,12.149999999999999,103
15,2,1,15,11.566666666666665,57
16,2,1,16,10.98333333333333,61
17,2,1,17,10.399999999999999,45
18,2,1,18,9.816666666666666,98
19,2,1,19,9.233333333333333,106
20,2,1,20,8.649999999999999,105
21,2,1,21,8.066666666666666,98
22,2,1,22,7.483333333333333,93
23,2,1,23,6.9,32
24,1,2,0,-7.1,46
25,1,2,1,-6.516666666666667,47
26,1,2,2,-5.933333333333334,35
27,1,2,3,-5.3500000000000005,45
28,1,2,4,-4.7666666666666675,35
29,1,2,5,-4.1833333333333345,39
30,1,2,6,-3.6000000000000014,44
31,1,2,7,-3.0166666666666684,40
32,1,2,8,-2.4333333333333353,30
33,1,2,9,-1.8500000000000023,41
34,1,2,10,-1.2666666666666693,40
35,1,2,11,-0.6833333333333362,88
36,1,2,12,-0.6833333333333362,75
37,1,2,13,-1.2666666666666693,79
38,1,2,14,-1.8500000000000023,87
39,1,2,15,-2.4333333333333353,40
40,1,2,16,-3.0166666666666684,35
41,1,2,17,-3.6000000000000014,43
42,1,2,18,-4.1833333333333345,93
43,1,2,19,-4.7666666666666675,80
44,1,2,20,-5.3500000000000005,81
45,1,2,21,-5.933333333333334,92
46,1,2,22,-6.516666666666667,84
47,1,2,23,-7.1,46
48,1,3,0,11.0,30
49,1,3,1,11.583333333333334,31
50,1,3,2,12.166666666666668,44
51,1,3,3,12.750000000000002,37
52,1,3,4,13.333333333333336,33
53,1,3,5,13.91666666666667,33
54,1,3,6,14.500000000000004,50
55,1,3,7,15.083333333333337,51
56,1,3,8,15.666666666666671,63
57,1,3,9,16.250000000000007,61
58,1,3,10,16.83333333333334,51
59,1,3,11,17.41666666666667,101
60,1,3,12,17.41666666666667,108
61,1,3,13,16.83333333333334,96
62,1,3,14,16.250000000000007,109
63,1,3,15,15.666666666666671,52
64,1,3,16,15.083333333333337,49
65,1,3,17,14.500000000000004,63
66,1,3,18,13.91666666666667,91
67,1,3,19,13.333333333333336,78
